i,j,k,x_center_m,y_center_m,z_center_m,temperature_k
1,1,1,0.0005,0.0005,0.0005,338.44461923058236
2,1,1,0.0015,0.0005,0.0005,336.8654279555567
3,1,1,0.0025,0.0005,0.0005,334.5377192982859
4,1,1,0.0035,0.0005,0.0005,331.42524726858727
5,1,1,0.0045000000000000005,0.0005,0.0005,327.61629454478265
6,1,1,0.0055,0.0005,0.0005,323.3257711463436
7,1,1,0.006500000000000001,0.0005,0.0005,318.85915605813875
8,1,1,0.0075,0.0005,0.0005,314.54833446728577
9,1,1,0.0085,0.0005,0.0005,310.6814611112626
10,1,1,0.0095,0.0005,0.0005,307.45051868608357
11,1,1,0.0105,0.0005,0.0005,304.93101043433694
12,1,1,0.0115,0.0005,0.0005,303.0940754028103
13,1,1,0.0125,0.0005,0.0005,301.83983545715586
14,1,1,0.0135,0.0005,0.0005,301.03659263167657
15,1,1,0.0145,0.0005,0.0005,300.5533978890359
16,1,1,0.0155,0.0005,0.0005,300.27999746088653
17,1,1,0.0165,0.0005,0.0005,300.134305522925
18,1,1,0.0175,0.0005,0.0005,300.0610980003903
19,1,1,0.0185,0.0005,0.0005,300.0263721905953
20,1,1,0.0195,0.0005,0.0005,300.0108058206494
21,1,1,0.0205,0.0005,0.0005,300.00420508116014
22,1,1,0.021500000000000002,0.0005,0.0005,300.0015549264832
23,1,1,0.0225,0.0005,0.0005,300.0005466065043
24,1,1,0.0235,0.0005,0.0005,300.0001827567361
25,1,1,0.0245,0.0005,0.0005,300.00005814347463
26,1,1,0.025500000000000002,0.0005,0.0005,300.00001760930076
27,1,1,0.0265,0.0005,0.0005,300.0000050788935
28,1,1,0.0275,0.0005,0.0005,300.0000013955357
29,1,1,0.0285,0.0005,0.0005,300.00000036542866
30,1,1,0.029500000000000002,0.0005,0.0005,300.0000000912208
31,1,1,0.0305,0.0005,0.0005,300.00000002174033
32,1,1,0.0315,0.0005,0.0005,300.0000000052829
1,2,1,0.0005,0.0015,0.0005,338.44461923058236
2,2,1,0.0015,0.0015,0.0005,336.8654279555567
3,2,1,0.0025,0.0015,0.0005,334.5377192982859
4,2,1,0.0035,0.0015,0.0005,331.42524726858727
5,2,1,0.0045000000000000005,0.0015,0.0005,327.61629454478265
6,2,1,0.0055,0.0015,0.0005,323.3257711463436
7,2,1,0.006500000000000001,0.0015,0.0005,318.85915605813875
8,2,1,0.0075,0.0015,0.0005,314.54833446728577
9,2,1,0.0085,0.0015,0.0005,310.6814611112626
10,2,1,0.0095,0.0015,0.0005,307.45051868608357
11,2,1,0.0105,0.0015,0.0005,304.93101043433694
12,2,1,0.0115,0.0015,0.0005,303.0940754028103
13,2,1,0.0125,0.0015,0.0005,301.83983545715586
14,2,1,0.0135,0.0015,0.0005,301.03659263167657
15,2,1,0.0145,0.0015,0.0005,300.5533978890359
