x_index,y_index,z_index,temperature_k,source_tracer_mol_m3,ambient_tracer_mol_m3,tracer_sum_mol_m3,source_fraction
1,9,1,338.44461923058236,0.9996906943370921,0.00030930566290791607,1.0,0.9996906943370921
2,9,1,336.8654279555567,0.997422747582236,0.0025772524177640347,1.0,0.997422747582236
3,9,1,334.5377192982859,0.9882241063668289,0.011775893633171148,1.0,0.9882241063668289
4,9,1,331.42524726858727,0.9627266233820131,0.037273376617987075,1.0000000000000002,0.9627266233820129
5,9,1,327.61629454478265,0.9094364407403789,0.09056355925962123,1.0,0.9094364407403789
6,9,1,323.3257711463436,0.8205831625856966,0.17941683741430337,1.0,0.8205831625856966
7,9,1,318.85915605813875,0.6979712338740307,0.30202876612596935,1.0,0.6979712338740307
8,9,1,314.54833446728577,0.554273696525274,0.4457263034747259,1.0,0.554273696525274
9,9,1,310.6814611112626,0.4084785831023356,0.5915214168976644,1.0,0.4084785831023356
10,9,1,307.45051868608357,0.2785155824403507,0.7214844175596494,1.0,0.2785155824403507
11,9,1,304.93101043433694,0.17553454149170622,0.8244654585082938,1.0,0.17553454149170622
12,9,1,303.0940754028103,0.10230722762120581,0.8976927723787943,1.0,0.10230722762120581
13,9,1,301.83983545715586,0.055212973482032364,0.9447870265179676,1.0,0.055212973482032364
14,9,1,301.03659263167657,0.02763940259380248,0.9723605974061975,1.0,0.02763940259380248
15,9,1,300.5533978890359,0.01285958607020774,0.9871404139297921,0.9999999999999999,0.012859586070207742
16,9,1,300.27999746088653,0.005572183300256608,0.9944278166997434,1.0,0.005572183300256608
17,9,1,300.134305522925,0.002253225195026463,0.9977467748049736,1.0,0.002253225195026463
18,9,1,300.0610980003903,0.0008519492172655612,0.9991480507827345,1.0,0.0008519492172655612
19,9,1,300.0263721905953,0.00030175709197998314,0.9996982429080199,0.9999999999999999,0.0003017570919799832
20,9,1,300.0108058206494,0.0001002974970246359,0.9998997025029752,0.9999999999999999,0.00010029749702463592
21,9,1,300.00420508116014,3.133378017913302e-5,0.9999686662198205,0.9999999999999997,3.1333780179133035e-5
22,9,1,300.0015549264832,9.21454677280959e-6,0.999990785453227,0.9999999999999998,9.214546772809592e-6
23,9,1,300.0005466065043,2.5542924240147963e-6,0.9999974457075759,0.9999999999999999,2.5542924240147967e-6
24,9,1,300.0001827567361,6.682675446543601e-7,0.9999993317324554,1.0,6.682675446543601e-7
25,9,1,300.00005814347463,1.652015467039577e-7,0.9999998347984533,1.0,1.652015467039577e-7
26,9,1,300.00001760930076,3.8629447549687194e-8,0.9999999613705527,1.0000000000000002,3.862944754968719e-8
27,9,1,300.0000050788935,8.55221376754287e-9,0.9999999914477863,1.0,8.55221376754287e-9
28,9,1,300.0000013955357,1.7941967025871493e-9,0.9999999982058033,1.0,1.7941967025871493e-9
29,9,1,300.00000036542866,3.569701035805205e-10,0.99999999964303,1.0,3.569701035805205e-10
30,9,1,300.0000000912208,6.740123352430361e-11,0.9999999999325988,1.0,6.740123352430361e-11
31,9,1,300.00000002174033,1.2085067482033286e-11,0.999999999987915,1.0,1.2085067482033286e-11
32,9,1,300.0000000052829,2.0615988653508624e-12,0.9999999999979385,1.0000000000000002,2.061598865350862e-12
1,9,2,338.43318577755247,0.9996906943370866,0.0003093056629134416,1.0,0.9996906943370866
2,9,2,336.84444111356817,0.9974227475822058,0.00257725241779419,1.0,0.9974227475822058
3,9,2,334.5063420355105,0.9882241063667395,0.011775893633260334,0.9999999999999999,0.9882241063667396
4,9,2,331.38487740693836,0.9627266233818295,0.037273376618170415,0.9999999999999999,0.9627266233818296
5,9,2,327.57027446328215,0.9094364407400889,0.09056355925991091,0.9999999999999998,0.9094364407400891
6,9,2,323.27845031332595,0.820583162585325,0.17941683741467496,1.0,0.820583162585325
7,9,2,318.81474404788366,0.6979712338736304,0.30202876612636953,0.9999999999999999,0.6979712338736305
8,9,2,314.50997785591244,0.5542736965249034,0.4457263034750964,0.9999999999999998,0.5542736965249035
9,9,2,310.6507978247343,0.40847858310203533,0.5915214168979643,0.9999999999999997,0.40847858310203544
10,9,2,307.427729685974,0.2785155824401352,0.7214844175598645,0.9999999999999997,0.2785155824401353
11,9,2,304.91521223451787,0.175534541491568,0.8244654585084319,0.9999999999999999,0.17553454149156802
12,9,2,303.083832792795,0.10230722762112575,0.8976927723788741,0.9999999999999999,0.10230722762112576
13,9,2,301.833611483808,0.055212973481990245,0.9447870265180095,0.9999999999999998,0.05521297348199026
14,9,2,301.03304154741915,0.02763940259378224,0.9723605974062175,0.9999999999999998,0.027639402593782246
15,9,2,300.5514925970342,0.012859586070198804,0.9871404139298011,0.9999999999999999,0.012859586070198806
16,9,2,300.2790348369638,0.005572183300252974,0.994427816699747,1.0,0.005572183300252974
17,9,2,300.1338469928026,0.0022532251950250952,0.997746774804975,1.0,0.0022532251950250952
18,9,2,300.06089185976884,0.0008519492172650833,0.9991480507827348,0.9999999999999999,0.0008519492172650834
19,9,2,300.0262846383058,0.0003017570919798278,0.9996982429080202,1.0,0.0003017570919798278
20,9,2,300.01077065936926,0.00010029749702458881,0.9998997025029753,0.9999999999999999,0.00010029749702458882
21,9,2,300.0041917181094,3.1333780179119665e-5,0.9999686662198205,0.9999999999999997,3.133378017911968e-5
22,9,2,300.0015501168789,9.214546772806043e-6,0.999990785453227,0.9999999999999998,9.214546772806044e-6
23,9,2,300.0005449660446,2.5542924240139116e-6,0.9999974457075759,0.9999999999999999,2.554292424013912e-6
24,9,2,300.0001822261739,6.682675446541527e-7,0.9999993317324554,1.0,6.682675446541527e-7
25,9,2,300.0000579806736,1.65201546703912e-7,0.9999998347984533,1.0,1.65201546703912e-7
26,9,2,300.0000175618833,3.8629447549677705e-8,0.9999999613705527,1.0000000000000002,3.86294475496777e-8
27,9,2,300.00000506577857,8.552213767541014e-9,0.9999999914477863,1.0,8.552213767541014e-9
28,9,2,300.0000013920898,1.7941967025868062e-9,0.9999999982058033,1.0,1.7941967025868062e-9
29,9,2,300.00000036456834,3.5697010358046063e-10,0.99999999964303,1.0,3.5697010358046063e-10
30,9,2,300.0000000910166,6.740123352429374e-11,0.9999999999325988,1.0,6.740123352429374e-11
31,9,2,300.0000000216942,1.2085067482031743e-11,0.999999999987915,1.0,1.2085067482031743e-11
32,9,2,300.00000000527234,2.061598865350634e-12,0.9999999999979385,1.0000000000000002,2.0615988653506338e-12
1,9,3,338.3960895047096,0.9996906943363933,0.00030930566360672714,1.0,0.9996906943363933
2,9,3,336.77730881603037,0.9974227475786126,0.0025772524213875186,1.0000000000000002,0.9974227475786124
3,9,3,334.4079283568738,0.9882241063565033,0.011775893643496954,1.0000000000000002,0.988224106356503
4,9,3,331.2608532883809,0.9627266233613206,0.03727337663867947,1.0,0.9627266233613206
5,9,3,327.4316130235736,0.9094364407082154,0.09056355929178456,1.0,0.9094364407082154
6,9,3,323.1382891835363,0.8205831625448415,0.1794168374551585,1.0,0.8205831625448415
7,9,3,318.6850841584574,0.6979712338302251,0.302028766169775,1.0,0.6979712338302251
8,9,3,314.3993059767424,0.5542736964847405,0.44572630351525955,1.0,0.5542736964847405
